depth,scenario,percent
1,AE_VE,0.0
2,AE_VE,0.0
3,AE_VE,0.0
4,AE_VE,7.69
5,AE_VE,7.69
6,AE_VE,7.69
7,AE_VE,7.69
8,AE_VE,7.69
9,AE_VE,15.38
10,AE_VE,23.08
11,AE_VE,53.85
12,AE_VE,69.23
13,AE_VE,76.92
14,AE_VE,84.62
15,AE_VE,92.31
16,AE_VE,100.0
17,AE_VE,100.0
18,AE_VE,100.0
19,AE_VE,100.0
20,AE_VE,100.0
21,AE_VE,100.0
22,AE_VE,100.0
23,AE_VE,100.0
24,AE_VE,100.0
25,AE_VE,100.0
26,AE_VE,100.0
27,AE_VE,100.0
28,AE_VE,100.0
29,AE_VE,100.0
30,AE_VE,100.0
1,Cat 1,15.38
2,Cat 1,23.08
3,Cat 1,30.77
4,Cat 1,53.85
5,Cat 1,76.92
6,Cat 1,92.31
7,Cat 1,100.0
8,Cat 1,100.0
9,Cat 1,100.0
10,Cat 1,100.0
11,Cat 1,100.0
12,Cat 1,100.0
13,Cat 1,100.0
14,Cat 1,100.0
15,Cat 1,100.0
16,Cat 1,100.0
17,Cat 1,100.0
18,Cat 1,100.0
19,Cat 1,100.0
20,Cat 1,100.0
21,Cat 1,100.0
22,Cat 1,100.0
23,Cat 1,100.0
24,Cat 1,100.0
25,Cat 1,100.0
26,Cat 1,100.0
27,Cat 1,100.0
28,Cat 1,100.0
29,Cat 1,100.0
30,Cat 1,100.0
1,Cat 3,0.0
2,Cat 3,0.0
3,Cat 3,0.0
4,Cat 3,0.0
5,Cat 3,0.0
6,Cat 3,0.0
7,Cat 3,0.0
8,Cat 3,0.0
9,Cat 3,0.0
10,Cat 3,0.0
11,Cat 3,7.69
12,Cat 3,15.38
13,Cat 3,23.08
14,Cat 3,30.77
15,Cat 3,69.23
16,Cat 3,76.92
17,Cat 3,100.0
18,Cat 3,100.0
19,Cat 3,100.0
20,Cat 3,100.0
21,Cat 3,100.0
22,Cat 3,100.0
23,Cat 3,100.0
24,Cat 3,100.0
25,Cat 3,100.0
26,Cat 3,100.0
27,Cat 3,100.0
28,Cat 3,100.0
29,Cat 3,100.0
30,Cat 3,100.0
1,Cat 5,0.0
2,Cat 5,0.0
3,Cat 5,0.0
4,Cat 5,0.0
5,Cat 5,0.0
6,Cat 5,0.0
7,Cat 5,0.0
8,Cat 5,0.0
9,Cat 5,0.0
10,Cat 5,0.0
11,Cat 5,0.0
12,Cat 5,0.0
13,Cat 5,0.0
14,Cat 5,0.0
15,Cat 5,0.0
16,Cat 5,0.0
17,Cat 5,0.0
18,Cat 5,0.0
19,Cat 5,0.0
20,Cat 5,0.0
21,Cat 5,15.38
22,Cat 5,23.08
23,Cat 5,23.08
24,Cat 5,30.77
25,Cat 5,76.92
26,Cat 5,92.31
27,Cat 5,100.0
28,Cat 5,100.0
29,Cat 5,100.0
30,Cat 5,100.0
